Address description,Price,Rooms,Rooms detailed,Surface area,Bathrooms,Floor,House type,Total building floors,Year of construction,Condition,Energy Efficiency,URL
"Apartment via Giuseppe Baretti 8, San Salvario - Baretti, Turin","€ 335,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchen diner",150 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1864,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101344653/
"Apartment via Boston 68, Santa Rita, Turin","€ 185,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",137 m²,2,"Mezzanine, with lift",Apartment | Full ownership | Medium property class,5 floors,,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99162488/
"2-room flat via Monteponi 44, Mirafiori Sud - Strada del Drosso, Turin","€ 82,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",58 m² | commercial 60.5 m² - See detail,,"4°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101527043/
"3-room flat via Saluzzo 89, San Salvario - Dante, Turin","€ 169,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",69 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1900,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/99081586/
"2-room flat via Giovan Battista Quadrone 5, Madonna di Campagna, Turin","€ 39,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",45 m²,,3°,Apartment | Full ownership | Economic property class,4 floors,1955,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100868445/
"Single family villa via alla Parrocchia 31, Cavoretto, Turin","€ 1,200,000",5+,"5+ (9 bedrooms, 3 others), 3+ bathrooms, kitchen diner",600 m²,3+,1°,Single family villa | Full ownership | Stately property class,2 floors,1700,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/95914388/
"Apartment via Amedeo Avogadro 16, Cittadella, Turin","€ 620,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, open kitchen",162 m²,2,"1°, with lift",Apartment | Full ownership | Stately property class,3 floors,1850,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100147228/
"4-room flat via Paolo Sacchi 48, San Secondo, Turin","€ 250,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",117 m²,2,"4°, with lift, with disabled access",Apartment | Full ownership | Stately property class,4 floors,1888,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/100743155/
"3-room flat via Rovereto 51, Santa Rita, Turin","€ 460,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",126 m² - See detail,2,"2 floors: Basement (-1), 3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,6 floors,2023,New / Under construction,,https://www.immobiliare.it/en/annunci/101187329/
"4-room flat corso Filippo Turati 7, San Secondo, Turin","€ 300,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms",125 m²,2,"2°, with lift",Apartment | Full ownership | Stately property class,7 floors,1960,New / Under construction,,https://www.immobiliare.it/en/annunci/99797686/
"4-room flat via Giuseppe Macherione 16/3, Barriera di Lanzo, Turin","€ 135,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchenette",105 m²,,"6°, with lift",Apartment | Full ownership | Medium property class,7 floors,1964,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/100536460/
"Apartment corso Duca Degli Abruzzi 17, Crocetta, Turin","€ 490,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",155 m²,2,3°,Apartment | Full ownership | Stately property class,3 floors,1900,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101467347/
"3-room flat corso Raffaello 28, San Salvario - Dante, Turin","€ 340,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",89 m² - See detail,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,2 floors,1899,New / Under construction,D,https://www.immobiliare.it/en/annunci/95195356/
"3-room flat via Oddino Morgari 2, San Salvario - Dante, Turin","€ 249,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",100 m²,,"2°, with lift",Apartment | Full ownership | Stately property class,5 floors,1900,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100698343/
"3-room flat via Luigi Ferdinando Marsigli 98, Pozzo Strada, Turin","€ 179,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",70 m²,,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,8 floors,1974,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/101602499/
"4-room flat via La Loggia 48, Lingotto, Turin","€ 140,000",4,"4 (3 bedrooms, 1 other), 1 bathroom, kitchen diner",103 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,6 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/95107316/
"Penthouse corso Emilia 6, Aurora, Turin","€ 380,000",3,"3 (1 bedroom, 2 others), 2 bathrooms, kitchen diner",180 m²,2,"4° floor, with lift",Penthouse | Full ownership | Stately property class,5 floors,1928,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100406060/
"Open space via Giuseppe Giacosa 4, San Salvario - Dante, Turin","€ 270,000",3,"3 (1 bedroom, 2 others), 1 bathroom, open kitchen",84 m²,,"Ground floor, with lift, with disabled access",Open space | Full ownership | Medium property class,3 floors,1950,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/92950880/
"Attic corso Principe Eugenio 1, Cittadella, Turin","€ 279,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",95 m²,,"6°, with lift",Attic | Full ownership | Stately property class,6 floors,1960,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/98683384/
"3-room flat corso Lecce 72, Campidoglio, Turin","€ 175,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",90 m² | commercial 91 m² - See detail,,"2°, with lift",Apartment | Full ownership | Stately property class,7 floors,1930,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99717092/
"Apartment via Filadelfia 149, Santa Rita, Turin","€ 329,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, open kitchen",118 m²,2,"6°, with lift, with disabled access",Apartment | Full ownership | Stately property class,10 floors,1970,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/100048362/
"4-room flat via Onorato Vigliani 11, Mirafiori Sud - Onorato Vigliani, Turin","€ 205,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",110 m²,2,"9°, with lift, with disabled access",Apartment | Full ownership | Stately property class,14 floors,1971,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101326605/
"3-room flat via Principessa Clotilde 35, San Donato, Turin","€ 185,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",95 m²,,"6° floor, with lift",Apartment | Full ownership,6 floors,1954,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100683407/
"4-room flat via Aosta 8, Aurora, Turin","€ 180,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",75 m²,,"4°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,2008,Excellent / Refurbished,B,https://www.immobiliare.it/en/annunci/97246438/
"Apartment corso Peschiera 362, Pozzo Strada, Turin","€ 250,000",5,"5 (4 bedrooms, 1 other), 1 bathroom, kitchen diner",120 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,8 floors,1970,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100650581/
"3-room flat corso MONCALIERI 295, Cavoretto, Turin","€ 157,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",65 m²,,1° floor,Apartment | Full ownership | Medium property class,3 floors,1950,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/91703264/
"3-room flat corso Belgio 68, Vanchiglietta, Turin","€ 145,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",82 m²,,2°,Apartment | Full ownership | Medium property class,2 floors,1920,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/98396456/
"Apartment Strada San Vincenzo 40, Colle della Maddalena, Turin","€ 620,000",5,"5 (3 bedrooms, 2 others), 3 bathrooms, kitchen diner, tennis court",348 m² - See detail,3,"3 floors: Basement (-1), Ground floor, Mezzanine, with lift",Apartment | Full ownership | Luxury property,3 floors,1970,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101640099/
"2-room flat corso Potenza 89, Lucento, Turin","€ 129,000",2,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",70 m²,,"3°, with lift",Apartment | Full ownership | Medium property class,3 floors,1920,New / Under construction,,https://www.immobiliare.it/en/annunci/100402740/
"2-room flat corso Moncalieri 450, Cavoretto, Turin","€ 99,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",67 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,3 floors,1970,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101533891/
"Apartment via Bruno Buozzi 3, Via Roma, Turin","€ 690,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",190 m²,2,"4°, with lift",Apartment | Full ownership | Stately property class,7 floors,1930,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99868032/
"Country house Strada ai Tetti Rocco 61, Superga, Turin","€ 190,000",5+,"5+ (7 bedrooms, 5 others), 3+ bathrooms, kitchen diner",370 m² | commercial 417.12 m² - See detail,3+,"4 floors: Basement (-1), from Ground floor to Mezzanine, 1°",Country house | Full ownership | Medium property class,2 floors,1700,To be refurbished,G,https://www.immobiliare.it/en/annunci/100340536/
"Apartment via Giovanni Martina 25, Barca, Turin","€ 270,000",5,"5 (4 bedrooms, 1 other), 2 bathrooms, kitchen nook, tennis court",150 m² - See detail,2,"3 floors: Semi-basement, from 5° to 6°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1990,Excellent / Refurbished,B,https://www.immobiliare.it/en/annunci/94316582/
"3-room flat Strada San Mauro 19, Barca, Turin","€ 67,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",70 m²,,2°,Apartment | Full ownership | Medium property class,2 floors,1950,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/97729158/
"Apartment via San Massimiliano Kolbe 16, Barca, Turin","€ 409,000",5+,"5+ (2 bedrooms, 4 others), 2 bathrooms, kitchen diner",198 m² - See detail,2,"4 floors: from Semi-basement to Ground floor, from 1° to 2°",Apartment | Full ownership | Stately property class,2 floors,1970,Excellent / Refurbished,A4,https://www.immobiliare.it/en/annunci/99349866/
"4-room flat corso Giovanni Pascoli, Santa Rita, Turin","€ 270,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",107 m²,,"4°, with lift, with disabled access",Apartment | Full ownership | Stately property class,9 floors,1962,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/100897885/
"3-room flat via Camillo Benso di Cavour 18, Via Roma, Turin","€ 398,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchenette",115 m²,2,"1°, with lift",Apartment | Full ownership | Stately property class,5 floors,1850,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/101075361/
"Apartment corso Re Umberto 47, Crocetta, Turin","€ 640,000",5+,"5+ (3 bedrooms, 3 others), 2 bathrooms, kitchen diner",223 m²,2,"3°, with lift",Apartment | Full ownership | Stately property class,9 floors,1960,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/99007902/
"3-room flat via Monginevro 97/14, Cenisia, Turin","€ 290,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",85 m²,,"8°, with lift, with disabled access",Apartment | Full ownership | Stately property class,10 floors,2018,New / Under construction,A,https://www.immobiliare.it/en/annunci/100398338/
"2-room flat corso Sebastopoli 310/11, Santa Rita, Turin","€ 145,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",96 m²,,"10°, with lift, with disabled access",Apartment | Full ownership | Stately property class,10 floors,1967,To be refurbished,,https://www.immobiliare.it/en/annunci/100673115/
"Apartment corso Vinzaglio 14, Cittadella, Turin","€ 695,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, semi-habitable kitchen",165 m²,2,"5°, with lift",Apartment | Full ownership | Stately property class,8 floors,1936,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/99400578/
"4-room flat Strada Val Salice 166, Colle della Maddalena, Turin","€ 258,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",80 m²,,"Ground floor, with disabled access",Apartment | Full ownership | Stately property class,2 floors,1960,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/97652912/
"2-room flat via Noasca 12, Barriera di Lanzo, Turin","€ 39,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",45 m²,,3°,Apartment | Full ownership | Economic property class,4 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100658949/
"2-room flat excellent condition, first floor, Mirafiori Nord, Turin","€ 130,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",76 m² - See detail,,"2 floors: Semi-basement, 1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,4 floors,2004,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/98686232/
"2-room flat Strada San Mauro, Barca, Turin","€ 63,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchenette",65 m²,,4°,Apartment | Full ownership | Medium property class,4 floors,1970,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/100378042/
"4-room flat via Gabriele Chiabrera 35, San Salvario - Dante, Turin","€ 580,000",4,"4 (3 bedrooms, 1 other), 3 bathrooms, open kitchen",125 m² - See detail,3,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,,https://www.immobiliare.it/en/annunci/99574636/
"4-room flat via Gabriele Chiabrera 35, San Salvario - Dante, Turin","€ 660,000",4,"4 (3 bedrooms, 1 other), 3 bathrooms, kitchen diner",142 m² - See detail,3,"2°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,,https://www.immobiliare.it/en/annunci/99574346/
"Apartment via Roma 333, Via Roma, Turin","€ 1,345,000",5+,"5+ (4 bedrooms, 2 others), 2 bathrooms, kitchen diner",288 m²,2,"3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,1936,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99515656/
"Apartment via  Martina, Barca, Turin","€ 220,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",115 m²,2,"2°, with lift",Apartment | Full ownership | Medium property class,5 floors,1989,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101344767/
"4-room flat via Gabriele Chiabrera 35, San Salvario - Dante, Turin","€ 720,000",4,"4 (3 bedrooms, 1 other), 3 bathrooms, open kitchen",177 m² - See detail,3,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2022,New / Under construction,,https://www.immobiliare.it/en/annunci/99570508/
"Apartment via Giannone 1, Piazza Solferino, Turin","€ 1,150,000",5+,"5+ (5 bedrooms, 7 others), 3+ bathrooms, kitchen diner",300 m²,3+,"2° floor, with lift",Apartment | Full ownership | Stately property class,5 floors,,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/85407536/
"Apartment via degli Ulivi, Falchera, Turin","€ 129,000",5,"5 (3 bedrooms, 2 others), 1 bathroom, kitchen diner",120 m²,,"8°, with lift",Apartment | Full ownership | Medium property class,10 floors,1970,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/101088773/
"4-room flat via Andrea Massena 77, Crocetta, Turin","€ 259,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, semi-habitable kitchen",99 m² | commercial 110.25 m² - See detail,,"3°, with lift",Apartment | Full ownership | Stately property class,4 floors,1930,To be refurbished,,https://www.immobiliare.it/en/annunci/101458129/
"4-room flat piazza Lorenzo Bernini, Cit Turin, Turin","€ 1,445,000",4,"4 (3 bedrooms, 1 other), 3 bathrooms, open kitchen",289 m²,3,"10°, with lift, with disabled access",Apartment | Full ownership | Luxury property,10 floors,2021,New / Under construction,A3,https://www.immobiliare.it/en/annunci/92648274/
"4-room flat via Sette Comuni 31, Mirafiori Nord, Turin","€ 148,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",105 m²,2,"1°, with lift",Apartment | Full ownership | Medium property class,4 floors,1930,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/100631339/
"Apartment corso Giovanni Lanza 110, Gran Madre - Crimea, Turin","€ 550,000",5+,"5+ (4 bedrooms, 2 others), 3 bathrooms, kitchen diner",212 m²,3,"2°, with lift",Apartment | Full ownership | Stately property class,3 floors,1956,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100584200/
"2-room flat via Piossasco 11, Aurora, Turin","€ 56,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",60 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,5 floors,1960,To be refurbished,G,https://www.immobiliare.it/en/annunci/99985816/
"3-room flat via Giovanni Pacini 65, Barriera di Milano, Turin","€ 99,000",3,"3 bedrooms, 2 bathrooms, kitchen diner",70 m²,2,"1°, with lift",Apartment | Full ownership | Medium property class,6 floors,,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99532338/
"4-room flat corso Gaetano Salvemini 41/C, Centro Europa, Turin","€ 189,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",124 m²,2,"2°, with lift",Apartment | Full ownership | Stately property class,6 floors,1987,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99515092/
"Open space via Cernaia 18, Quadrilatero Romano, Turin","€ 980,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, open kitchen",130 m²,2,"6°, with lift, with disabled access",Open space | Full ownership | Luxury property,6 floors,2018,Excellent / Refurbished,A+,https://www.immobiliare.it/en/annunci/94717958/
"3-room flat via Issiglio, San Paolo, Turin","€ 260,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",80 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,16 floors,2023,New / Under construction,A,https://www.immobiliare.it/en/annunci/100482406/
"3-room flat via Veglia, Santa Rita, Turin","€ 190,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",75 m²,,"Ground floor, with disabled access",Apartment | Full ownership | Stately property class,1 floor,2023,New / Under construction,A2,https://www.immobiliare.it/en/annunci/101611201/
"4-room flat via Giuseppe Macherione 20, Barriera di Lanzo, Turin","€ 110,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",105 m²,,"2°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99737496/
"3-room flat via Giovanni Battista Pergolesi 86, Regio Parco, Turin","€ 79,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",85 m² | commercial 94.9 m² - See detail,,"8°, with lift",Apartment | Full ownership | Economic property class,9 floors,1986,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/99748744/
"Open space via Andrea Doria 14, Via Roma, Turin","€ 740,000",5,"5 rooms, 3 bathrooms, kitchen nook",224 m² - See detail,3,"2 floors: Basement (-1), Ground floor, with lift, with disabled access",Open space | Full ownership | Stately property class,4 floors,1940,Excellent / Refurbished,F,https://www.immobiliare.it/en/annunci/101203755/
"Apartment via Ormea 92, San Salvario - Dante, Turin","€ 380,000",5,"5 (2 bedrooms, 3 others), 1 bathroom, kitchen diner",124 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,6 floors,1959,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/97020408/
"Apartment via Rocco Scotellaro 47, Rebaudengo, Turin","€ 149,000",5,"5 (4 bedrooms, 1 other), 1 bathroom, kitchen diner",130 m²,,"6°, with lift",Apartment | Full ownership | Stately property class,10 floors,1970,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/101152521/
"Loft via Parma 61, Regio Parco, Turin","€ 178,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",76 m² - See detail,,"2 floors: Ground floor, 1°, with disabled access",Loft | Full ownership | Stately property class,1 floor,2022,New / Under construction,A1,https://www.immobiliare.it/en/annunci/101555005/
"3-room flat via Chivasso 5, Aurora, Turin","€ 140,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",81 m² - See detail,2,2 floors: from 1° to 2°,Apartment | Full ownership | Medium property class,2 floors,2011,Excellent / Refurbished,B,https://www.immobiliare.it/en/annunci/95187290/
"3-room flat corso Grosseto 62, Borgo Vittoria, Turin","€ 99,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchenette",80 m²,,"5°, with lift",Apartment | Full ownership | Medium property class,9 floors,1963,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/101082789/
"4-room flat via Francesco Cigna 42, Aurora, Turin","€ 148,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",103 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,7 floors,1960,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/99523704/
"Apartment via Michele Buniva 4, Vanchiglia, Turin","€ 420,000",5+,"5+ (5 bedrooms, 2 others), 2 bathrooms, kitchen diner",180 m²,2,"1°, with lift",Apartment | Full ownership | Stately property class,4 floors,1800,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100657779/
"4-room flat corso Vinzaglio, Cittadella, Turin","€ 349,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen nook",114 m²,2,"3°, with lift",Apartment | Full ownership | Medium property class,4 floors,1850,Excellent / Refurbished,E,https://www.immobiliare.it/en/annunci/100577164/
"4-room flat largo Giovanni Migliara 14, San Donato, Turin","€ 280,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",105 m²,2,"Mezzanine, with lift",Apartment | Full ownership | Stately property class,7 floors,1958,Excellent / Refurbished,,https://www.immobiliare.it/en/annunci/97432426/
"2-room flat corso Vercelli 114, Barriera di Milano, Turin","€ 39,500",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",50 m²,,"1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1950,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100031146/
"2-room flat via Luigi Salvatore Cherubini 8, Barriera di Milano, Turin","€ 36,900",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",55 m²,,"4°, with lift, with disabled access",Apartment | Full ownership | Medium property class,7 floors,1960,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101483987/
"Studio via Caprie 20, Cit Turin, Turin","€ 150,000",,"1 bedroom, 1 bathroom, kitchen nook",44 m²,,"3°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2019,New / Under construction,A,https://www.immobiliare.it/en/annunci/94646906/
"3-room flat via Avigliana 39, Cit Turin, Turin","€ 245,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",96 m² - See detail,,"1°, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2000,Excellent / Refurbished,G,https://www.immobiliare.it/en/annunci/94437270/
"4-room flat corso Ottone Rosai 26/1, Parco Dora, Turin","€ 209,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",95 m²,2,"1° floor, with lift",Apartment,,2007,Excellent / Refurbished,C,https://www.immobiliare.it/en/annunci/100648895/
"3-room flat via Madonna delle Rose 3, Lingotto, Turin","€ 139,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",75 m²,,"3°, with lift",Apartment | Full ownership | Stately property class,5 floors,1965,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/100494376/
"3-room flat via Alberto Viriglio 17, Barriera di Milano, Turin","€ 67,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen diner",76 m²,,1°,Apartment | Full ownership | Medium property class,5 floors,1955,To be refurbished,,https://www.immobiliare.it/en/annunci/100440582/
"3-room flat via Giovanni Cena 2, Rebaudengo, Turin","€ 99,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen nook",85 m²,,"7°, with lift",Apartment | Full ownership | Medium property class,10 floors,1967,Good condition / Liveable,D,https://www.immobiliare.it/en/annunci/99916574/
"3-room flat via Amedeo Peyron 54, San Donato, Turin","€ 179,000",3,"3 (1 bedroom, 2 others), 1 bathroom, kitchen nook",80 m²,,"2° floor, with lift",Apartment,,,To be refurbished,,https://www.immobiliare.it/en/annunci/99535732/
"4-room flat via Chiesa della Salute 149, Borgo Vittoria, Turin","€ 119,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",98 m²,,"4°, with lift, with disabled access",Apartment | Full ownership | Medium property class,10 floors,1950,Good condition / Liveable,E,https://www.immobiliare.it/en/annunci/101236365/
"3-room flat via XX Settembre, Via Roma, Turin","€ 595,000",3,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",129 m²,2,"1°, with lift, with disabled access",Apartment | Full ownership | Medium property class,1 floor,1642,Excellent / Refurbished,A4,https://www.immobiliare.it/en/annunci/100911011/
"4-room flat via San Francesco di Paola, Via Roma, Turin","€ 279,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",100 m²,,"1°, with lift",Apartment | Full ownership | Medium property class,4 floors,1930,Good condition / Liveable,,https://www.immobiliare.it/en/annunci/100895291/
"3-room flat via Lazzaro Spallanzani 15, Santa Rita, Turin","€ 150,000",3,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",60 m²,,4°,Apartment | Full ownership | Medium property class,5 floors,1930,Good condition / Liveable,G,https://www.immobiliare.it/en/annunci/97313416/
"4-room flat via Bianzè 33, Campidoglio, Turin","€ 165,000",4,"4 (2 bedrooms, 2 others), 1 bathroom, kitchen diner",105 m²,,3°,Apartment | Full ownership | Medium property class,3 floors,,To be refurbished,E,https://www.immobiliare.it/en/annunci/101100007/
"Apartment via Saluzzo 16, San Salvario - Baretti, Turin","€ 390,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms",109 m²,2,"3°, with lift, with disabled access",Apartment | Full ownership | Medium property class,5 floors,1850,New / Under construction,B,https://www.immobiliare.it/en/annunci/96052156/
"Studio via Saluzzo 43, San Salvario - Dante, Turin","€ 159,000",,"1 bedroom, 1 bathroom, kitchen nook",50 m²,,"Ground floor, with lift, with disabled access",Apartment | Full ownership | Stately property class,5 floors,2023,New / Under construction,,https://www.immobiliare.it/en/annunci/100678929/
"4-room flat via Monginevro 99, San Paolo, Turin","€ 340,000",4,"4 (2 bedrooms, 2 others), 2 bathrooms, kitchen diner",110 m²,2,"6°, with lift, with disabled access",Apartment | Full ownership | Stately property class,9 floors,2016,Excellent / Refurbished,A,https://www.immobiliare.it/en/annunci/100783191/
"Apartment via Ugo Foscolo 25, San Salvario - Dante, Turin","€ 430,000",5,"5 (3 bedrooms, 2 others), 2 bathrooms, kitchen diner",160 m² | commercial 166 m² - See detail,2,"3°, with lift",Apartment | Full ownership | Stately property class,5 floors,1970,Good condition / Liveable,F,https://www.immobiliare.it/en/annunci/98154424/
"Apartment via Genovesi  19, Crocetta, Turin","€ 455,000",5,"5 (2 bedrooms, 3 others), 3 bathrooms, kitchen diner",170 m²,3,"2° floor, with lift",Apartment | Full ownership | Stately property class,9 floors,1975,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100404860/
"2-room flat via Monferrato 18, Gran Madre - Crimea, Turin","€ 158,000",2,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",40 m²,,3°,Apartment | Full ownership | Stately property class,3 floors,1830,Excellent / Refurbished,D,https://www.immobiliare.it/en/annunci/100759763/
